GFI1	M00250_GFI1_01.pfm
MYOGENIN	M00712_MYOGENIN_Q6.pfm
NKX62	M00489_NKX62_Q2.pfm
MYB	M00773_MYB_Q3.pfm
CACBINDINGPROTEIN	M00720_CACBINDINGPROTEIN_Q6.pfm
ARNT	M00236_ARNT_01.pfm
MTF1	M00650_MTF1_Q4.pfm
NRF2	M00108_NRF2_01.pfm
OCT4	M01125_OCT4_01.pfm
SZF11	M01109_SZF11_01.pfm
PTF1BETA	M00657_PTF1BETA_Q6.pfm
MAZR	M00491_MAZR_01.pfm
OCT1	M00135_OCT1_01.pfm
HOXA7	M01108_HOXA7_01.pfm
STAT5B	M00459_STAT5B_01.pfm
STAT5A	M00457_STAT5A_01.pfm
HOXA4	M00640_HOXA4_Q2.pfm
CDP	M00095_CDP_01.pfm
PPAR	M00763_PPAR_DR1_Q2.pfm
TBP	M00471_TBP_01.pfm
E2F4DP2	M00739_E2F4DP2_01.pfm
MRF2	M00454_MRF2_01.pfm
HAND1E47	M00222_HAND1E47_01.pfm
E2F4DP1	M00738_E2F4DP1_01.pfm
HMX1	M00433_HMX1_01.pfm
HFH3	M00289_HFH3_01.pfm
NERF	M00531_NERF_Q2.pfm
HFH1	M00129_HFH1_01.pfm
POU1F1	M00744_POU1F1_Q6.pfm
TFE	M01029_TFE_Q6.pfm
HFH4	M00742_HFH4_01.pfm
STAT1	M00224_STAT1_01.pfm
PLZF	M01075_PLZF_02.pfm
FREAC4	M00292_FREAC4_01.pfm
FREAC7	M00293_FREAC7_01.pfm
E12	M00693_E12_Q6.pfm
HP1SITEFACTOR	M00725_HP1SITEFACTOR_Q6.pfm
RSRFC4	M00026_RSRFC4_01.pfm
FREAC3	M00291_FREAC3_01.pfm
FREAC2	M00290_FREAC2_01.pfm
FOXO3	M00477_FOXO3_01.pfm
PITX2	M00482_PITX2_Q2.pfm
FOXO1	M00473_FOXO1_01.pfm
MAZ	M00649_MAZ_Q6.pfm
STRA13	M00985_STRA13_01.pfm
CHX10	M00437_CHX10_01.pfm
NFAT	M00935_NFAT_Q4_01.pfm
FOXO4	M00472_FOXO4_01.pfm
ELF1	M00746_ELF1_Q6.pfm
CIZ	M00734_CIZ_01.pfm
FAC1	M00456_FAC1_01.pfm
SMAD	M00974_SMAD_Q6_01.pfm
MYOD	M00001_MYOD_01.pfm
USF	M00121_USF_01.pfm
CEBPB	M00109_CEBPB_01.pfm
CEBPA	M00116_CEBPA_01.pfm
GFI1B	M01058_GFI1B_01.pfm
MZF1	M00083_MZF1_01.pfm
TAL1	M00993_TAL1_Q6.pfm
PXR	M00964_PXR_Q2.pfm
ALX4	M00619_ALX4_01.pfm
CHOP	M00249_CHOP_01.pfm
SEF1	M00214_SEF1_C.pfm
SOX2	M01132_SOX2_01.pfm
ETS1	M00339_ETS1_B.pfm
GZF1	M01069_GZF1_01.pfm
TAL1BETAITF2	M00070_TAL1BETAITF2_01.pfm
MSX1	M00394_MSX1_01.pfm
SOX5	M00042_SOX5_01.pfm
MEIS1AHOXA9	M00420_MEIS1AHOXA9_01.pfm
P53	M00034_P53_01.pfm
POU3F2	M00463_POU3F2_01.pfm
NRF1	M00652_NRF1_Q6.pfm
TEL2	M00678_TEL2_Q6.pfm
E2F1DP1RB	M00740_E2F1DP1RB_01.pfm
TCF11MAFG	M00284_TCF11MAFG_01.pfm
ANTP	M01084_ANTP_Q6_01.pfm
FXR	M00767_FXR_IR1_Q6.pfm
E4F1	M00694_E4F1_Q6.pfm
CACD	M01113_CACD_01.pfm
PEA3	M00655_PEA3_Q6.pfm
AR	M00481_AR_01.pfm
HELIOSA	M01003_HELIOSA_01.pfm
HLF	M00260_HLF_01.pfm
NFMUE1	M00651_NFMUE1_Q6.pfm
IRF	M00972_IRF_Q6_01.pfm
ISRE	M00258_ISRE_01.pfm
NCX	M00484_NCX_01.pfm
EBF	M00977_EBF_Q6.pfm
EBOX	M01034_EBOX_Q6_01.pfm
AIRE	M00999_AIRE_01.pfm
E2F1	M00938_E2F1_Q3_01.pfm
HOXA3	M00395_HOXA3_01.pfm
E4BP4	M00045_E4BP4_01.pfm
PPARG	M00512_PPARG_01.pfm
NRSE	M00325_NRSE_B.pfm
OTX	M01117_OTX_Q1.pfm
SOX10	M01131_SOX10_Q6.pfm
EGR3	M00245_EGR3_01.pfm
VDR	M00444_VDR_Q3.pfm
ATF4	M00514_ATF4_Q2.pfm
ERR1	M00511_ERR1_Q2.pfm
ATF6	M00483_ATF6_01.pfm
ATF1	M00691_ATF1_Q6.pfm
ATF3	M00513_ATF3_Q6.pfm
